is_weekend,start_station,end_station,hour,omega
0,5,46,22,1.4
0,5,47,1,1.4
0,5,47,9,1.4
0,5,47,10,1.4
0,5,47,11,1.4
0,5,47,13,4.199999999999999
0,5,47,15,1.4
0,5,47,16,2.8
0,5,47,17,1.4
0,5,47,18,2.8
0,5,47,19,1.4
0,5,47,21,1.4
0,5,48,14,2.8
0,5,48,20,1.4
0,5,48,22,1.4
0,5,48,23,1.4
0,5,49,0,1.4
0,5,49,7,1.4
0,5,49,9,1.4
0,5,49,12,2.8
0,5,49,13,1.4
0,5,49,14,1.4
0,5,49,15,1.4
0,5,49,17,2.8
0,5,49,19,1.4
0,5,49,20,1.4
0,5,49,21,2.8
0,5,49,22,1.4
0,6,1,13,1.4
0,6,2,1,1.4
0,6,2,8,1.4
0,6,2,11,1.4
0,6,2,12,1.4
0,6,2,18,1.4
0,6,2,21,1.4
0,6,2,22,1.4
0,6,2,23,1.4
0,6,4,13,4.199999999999999
0,6,4,15,1.4
0,6,4,16,1.4
0,6,4,18,1.4
0,6,4,19,2.8
0,6,4,20,1.4
0,6,5,1,1.4
0,6,5,3,1.4
0,6,5,5,1.4
0,6,5,16,1.4
0,6,5,17,1.4
0,6,5,20,1.4
0,6,5,21,1.4
0,6,5,22,2.8
0,6,5,23,2.8
0,6,6,0,5.6
0,6,6,1,4.199999999999999
0,6,6,2,4.199999999999999
0,6,6,3,4.199999999999999
0,6,6,4,4.199999999999999
0,6,6,5,2.8
0,6,6,7,2.8
0,6,6,8,5.6
0,6,6,9,2.8
0,6,6,10,2.8
0,6,6,11,4.199999999999999
0,6,6,12,4.199999999999999
0,6,6,13,4.199999999999999
0,6,6,14,7.0
0,6,6,15,7.0
0,6,6,16,8.399999999999999
0,6,6,17,8.399999999999999
0,6,6,18,8.399999999999999
0,6,6,19,7.0
0,6,6,20,7.0
0,6,6,21,5.6
0,6,6,22,9.799999999999999
0,6,6,23,11.2
0,6,8,11,1.4
0,6,8,22,1.4
0,6,9,3,2.8
0,6,9,9,2.8
0,6,9,10,1.4
0,6,9,11,1.4
0,6,9,12,1.4
0,6,9,17,2.8
0,6,9,19,1.4
0,6,9,20,1.4
0,6,9,23,2.8
0,6,10,8,1.4
0,6,11,0,1.4
0,6,12,9,1.4
0,6,12,14,1.4
0,6,12,16,1.4
0,6,12,21,1.4
0,6,12,23,1.4
0,6,13,13,1.4
0,6,13,20,1.4
0,6,14,12,1.4
0,6,14,13,1.4
